"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"October 9, 2015",Arizona,Flagstaff,"216 E Mountain View Drive",1,3,N/A
"October 6, 2015",Maryland,Baltimore,"300 block of North Payson Street",0,5,N/A
"October 2, 2015",Maryland,Baltimore,"5400 Reisterstown Road",1,4,N/A
"October 1, 2015",Oregon,Roseburg,"1140 Umpqua College Rd",10,9,N/A
"September 28, 2015",Ohio,"Cincinnati (Evanston)","1800 block of Hewitt Avenue",0,5,N/A
"September 28, 2015",Illinois,Chicago,"300 block of West 42nd Street",3,2,N/A
"September 28, 2015",Illinois,Chicago,"5300 block of South Aberdeen Street",2,3,N/A
"September 28, 2015",Ohio,Dayton,"1921 Oakridge",0,4,N/A
"September 27, 2015",Georgia,Greenville,"1140 Hill Haven Road",0,10,N/A
"September 27, 2015",Illinois,Chicago,"5200 block of South Justine",0,4,N/A
"September 27, 2015",Missouri,"Kansas City","1700 E. 18th St.",0,4,N/A
"September 25, 2015",Illinois,Danville,"1300 block of May Street",0,4,N/A
"September 24, 2015",Illinois,Chicago,"5100 block of South Morgan Street",0,5,N/A
"September 23, 2015",Louisiana,Shreveport,"2900 Block of Peach Street",0,5,N/A
"September 23, 2015",Florida,"Fort Myers","Dale Street and Veronica S. Shoemaker Boulevard",0,4,N/A
"September 23, 2015",Georgia,Norcross,"1300 block of Reddington Lane",1,3,N/A
"September 20, 2015",Pennsylvania,Philadelphia,"900 block of Pratt Street",1,3,N/A
"September 20, 2015",Illinois,Chicago,"5700 block of South LaSalle",1,5,N/A
"September 20, 2015",Oklahoma,Tulsa,"Pine and Yale",0,6,N/A
"September 19, 2015",Indiana,Indianapolis,"3900 block of Graceland Avenue",1,3,N/A
"September 17, 2015","South Dakota",Platte,"36705 379th Street",6,0,N/A
"September 17, 2015",Michigan,Albion,"500 block of W. Broadwell Street",0,4,N/A
"September 15, 2015","New Jersey",Newark,"Irvine Turner Boulevard and West Kinney Street",0,4,N/A
"September 13, 2015",Florida,Ocala,"1910 South Pine Avenue",1,5,N/A
"September 12, 2015",Louisiana,Shreveport,"1500 block of Clanton Street",0,4,N/A
"September 12, 2015","New York",Rochester,"36 Woodward Street",2,4,N/A
"September 12, 2015",Minnesota,Minneapolis,"1st Ave. and N. 5th St.",0,6,N/A
"September 12, 2015",Minnesota,Minneapolis,"1200 block of 22nd Ave. N.",1,3,N/A
"September 11, 2015","North Carolina",Charlotte,"1000 North Carolina Music Factory Blvd.",0,5,N/A
"September 10, 2015",Minnesota,"Excelsior (Greenwood)","Channel Drive",5,0,N/A
"September 8, 2015",Georgia,Berlin,N/A,0,4,N/A
"September 8, 2015",Illinois,Chicago,"56th and Green",0,4,N/A
"September 7, 2015",Indiana,Gary,"9300 block of Sunrise",2,4,N/A
"September 7, 2015",Colorado,Denver,"1909 Blake Street",0,4,N/A
"September 5, 2015","North Carolina",Charlotte,"6800 block of Fieldvale Place",1,3,N/A
"September 5, 2015",Florida,"Daytona Beach","300 block of Pearl Street",0,4,N/A
"September 5, 2015",Nevada,"Las Vegas","5000 Block of Hollywood Boulevard",1,3,N/A
"September 5, 2015",Missouri,Columbia,"1509 Ashley Street",0,4,N/A
"August 30, 2015",Tennessee,Memphis,"3300 block of Sobota Circle",1,4,N/A
"August 29, 2015",Texas,Tyler,"638 ENE Loop 323",1,3,N/A
"August 29, 2015",Tennessee,Bristol,"618 Henson Road",3,2,N/A
"August 28, 2015","New York",Brooklyn,"589 Flatbush Avenue",1,3,N/A
"August 27, 2015",California,Salinas,"928 Blanco Circle",2,2,N/A
"August 26, 2015",Minnesota,"Minneapolis (Brooklyn Center)","5000 block of Drew Avenue North",0,4,N/A
"August 26, 2015",Florida,"West Palm Beach","800 block of 19th Street",2,2,N/A
"August 26, 2015",Illinois,Chicago,"3025 W. Van Buren Ave",1,3,N/A
"August 25, 2015",Louisiana,"New Orleans","Fern Street and Olive Street",1,3,N/A
"August 23, 2015",California,Modesto,"1100 block of Kansas Avenue",1,7,N/A
"August 22, 2015",Florida,"Orlando (Pine Hills)","State Road 408",0,4,N/A
"August 22, 2015","New Mexico",Roswell,"302 East Reed Street",3,1,N/A
"August 21, 2015","North Carolina",Durham,"2700 block of Hinson Drive",0,8,N/A
"August 21, 2015",Ohio,Cincinnati,"Mathis and Prentice",2,5,N/A
"August 20, 2015",Texas,"Grulla (La Grulla)","FM 2360",2,2,N/A
"August 19, 2015","New York",Rochester,"500 Genesee Street",3,4,N/A
"August 16, 2015",Texas,"Fort Worth","3651 Sycamore School Rd",0,6,N/A
"August 16, 2015",Illinois,Chicago,"5400 block of West Division Street",0,4,N/A
"August 16, 2015","South Carolina",Bennettsville,"Highway 38N",0,5,N/A
"August 15, 2015",Pennsylvania,Pittsburgh,"West Prospect Avenue",1,3,N/A
"August 15, 2015",California,"Los Angeles","57th Street and South Normandie Avenue",0,4,N/A
"August 15, 2015","South Carolina",Orangeburg,"2868 Bamberg Road",1,3,N/A
"August 10, 2015",California,"Long Beach","1700 block of East 10th Street",0,4,N/A
"August 9, 2015",Mississippi,Forest,"Poplar Street",1,3,N/A
"August 9, 2015",Michigan,Detroit,"15200 block of Hazelridge",1,3,N/A
"August 9, 2015",Missouri,"Kansas City","40th Street and Pennsylvania Avenue",0,4,N/A
"August 8, 2015","North Carolina",Gastonia,"4908 Greenwood Drive",2,3,N/A
"August 8, 2015",Texas,Houston,"2211 Falling Oaks",8,0,N/A
"August 8, 2015",Arkansas,Blytheville,"833 Anderson Street",1,11,N/A
"August 7, 2015",Vermont,"Barre (Berlin)","3182 Airport Road",4,0,N/A
"August 6, 2015","South Carolina",Columbia,"1505 Garden Plaza",0,4,N/A
"August 4, 2015",Missouri,"Saint Louis","2500 block of Semple",1,4,N/A
"August 3, 2015","New York",Brooklyn,"98 Dwight Street",0,5,N/A
"August 2, 2015","New York",Brooklyn,"Stanley Avenue and Crescent Street",0,9,N/A
"August 2, 2015",Maryland,Baltimore,"2700 block of Garrison Avenue",0,7,N/A
"August 2, 2015",Illinois,Chicago,"4800 block of West Kamerling Avenue",1,4,N/A
"August 2, 2015",Georgia,Savannah,"Barnard Street",0,5,N/A
"August 2, 2015",Illinois,Chicago,"6700 block of South Winchester Avenue",0,4,N/A
"August 1, 2015",Florida,Orlando,"5801 Shenandoah Way",0,4,N/A
"July 30, 2015",Pennsylvania,Pittsburgh,"Brushton Avenue",0,4,N/A
"July 27, 2015",Illinois,Rockford,"900 block of Kent Street",0,5,N/A
"July 26, 2015",Missouri,"Kansas City","Thompson and Colorado",2,3,N/A
"July 26, 2015",Louisiana,"New Orleans","Piety and Treasure street",0,4,N/A
"July 25, 2015",Virginia,Hopewell,"500 block of N. 7th Ave",0,4,N/A
"July 24, 2015",Pennsylvania,Erie,"200 block of West 29th Street",2,4,N/A
"July 23, 2015",Louisiana,Lafayette,"3141 Johnson Street",3,9,N/A
"July 22, 2015",Georgia,Suwanee,"5500 block of Old Atlanta Road",5,0,N/A
"July 21, 2015",Florida,"Miami Gardens","Northwest 25th Avenue and Miami Gardens Drive",1,3,N/A
"July 20, 2015","New York",Bronx,"E. 153rd St. and the Grand Concourse",0,6,N/A
"July 19, 2015",Virginia,Suffolk,"100 block of North Capitol Street",0,4,N/A
"July 19, 2015",Kentucky,Louisville,"2928 W Kentucky St",0,6,N/A
"July 19, 2015","North Carolina","Rocky Mount","Interstate 64 and Raliegh Street",0,4,N/A
"July 18, 2015",California,"San Diego","200 block of South Bancroft Street",0,4,N/A
"July 18, 2015",California,"Santa Paula","Ojai-Santa Paula Street",0,5,N/A
"July 18, 2015",Oregon,Salem,"1550 Weston Ct NE",1,4,N/A
"July 18, 2015",Louisiana,"Baton Rouge","300 Block of Brice Street",2,2,N/A
"July 17, 2015",Illinois,Chicago,"4400 block of W. Maypole",0,5,N/A
"July 17, 2015",Ohio,"Cincinnati (Westwood)","3100 block of Sunshine Avenue",0,4,N/A
"July 16, 2015",Tennessee,Chattanooga,"4051 Amnicola Highway",6,2,N/A
"July 16, 2015",Texas,Dallas,"Singleton and Hampton",0,5,N/A
"July 15, 2015",Georgia,Atlanta,"500 block of Center Hill Avenue",0,5,N/A
"July 15, 2015",Maryland,Baltimore,"3500 block of West Garrison Boulevard",1,3,N/A
"July 15, 2015",Ohio,Cleveland,"700 block of Thornhill",0,7,N/A
"July 15, 2015",Michigan,Detroit,"9200 block of Memorial",0,4,N/A
"July 15, 2015","South Carolina","Holly Hill","7050 Old State Road",4,1,N/A
"July 14, 2015",Missouri,"Saint Louis","1100 block of Riverview",0,4,N/A
"July 13, 2015",California,Norwalk,"11959 162nd Street",0,4,N/A
"July 13, 2015",California,Stockton,"400 block of McCloud Avenue",1,4,N/A
"July 12, 2015",Illinois,"River Forest","116 Lathrop Avenue",2,3,N/A
"July 12, 2015","New Jersey","Jersey City","Sip and Van Wagenen avenues",0,4,N/A
"July 7, 2015",Maryland,Baltimore,"900 block of West Fayette Street",3,1,N/A
"July 5, 2015",Louisiana,Shreveport,"3500 block of Hearne Avenue",0,8,N/A
"July 5, 2015",Indiana,"Fort Wayne","1400 block of McCulloch Street",0,9,N/A
"July 5, 2015","New Jersey","East Orange","200 block of S. Clinton St",1,3,N/A
"July 4, 2015",Kentucky,Louisville,"2500 block of West Broadway",0,4,N/A
"July 4, 2015",Massachusetts,Pittsfield,"Dewey Avenue",1,4,N/A
"July 4, 2015","New York",Syracuse,"Bellevue and Rich Street",0,4,N/A
"July 4, 2015",Texas,"San Antonio","1100 block of West Avenue",0,4,N/A
"July 4, 2015","District of Columbia",Washington,"2600 Douglas Place SE",1,3,N/A
"July 2, 2015",Indiana,Indianapolis,"Lynn and Michigan",1,3,N/A
"June 29, 2015",Florida,"Opa Locka","13450 N.W. 30th Ave",0,4,N/A
"June 28, 2015",Michigan,Detroit,"Gratiot and Loretto",0,5,N/A
"June 28, 2015",Illinois,Venice,N/A,0,6,N/A
"June 28, 2015",Delaware,Harrington,"100 block of East St",0,6,N/A
"June 27, 2015",Massachusetts,Taunton,"Weir Street",1,3,N/A
"June 27, 2015",Michigan,Detroit,"Stringham Court",0,4,N/A
"June 24, 2015","New York","New York (Manhattan)","2110 Madison Ave",0,4,N/A
"June 22, 2015",Pennsylvania,Philadelphia,"700 block of East Hilton Street",0,7,N/A
"June 21, 2015",Pennsylvania,"Pittsburgh (Wilkinsburg)","Rebecca and East Swissvale Avenue",0,4,N/A
"June 21, 2015",Kentucky,Lexington,"726 Georgetown St",1,4,N/A
"June 20, 2015",Michigan,Detroit,"Dexter and Webb",1,11,N/A
"June 20, 2015","North Carolina",Morven,N/A,0,4,N/A
"June 20, 2015",Pennsylvania,Philadelphia,"4100 block of Ogden Street",0,11,N/A
"June 19, 2015","Rhode Island",Woonsocket,"80 River Street",0,4,N/A
"June 17, 2015","South Carolina",Charleston,"110 Calhoun Street",9,0,N/A
"June 16, 2015",Florida,"Miami Gardens","600 block of Northwest 177th Street",0,4,N/A
"June 15, 2015","New York",Brooklyn,"673 Flatbush Avenue",0,4,N/A
"June 14, 2015",Oklahoma,Tulsa,"1800 block of North Kingston",0,4,N/A
"June 14, 2015",Missouri,"Saint Louis","1400 block of North Market Street",0,4,N/A
"June 14, 2015","New Jersey",Camden,"2800 block of Saunders Street",1,3,N/A
"June 13, 2015",Georgia,Fayetteville,"600 block of Highway 279",1,4,N/A
"June 13, 2015",Ohio,Columbus,"1623 E. Hudson Street",4,1,N/A
"June 13, 2015",Georgia,Milledgeville,"451 North Flynn Street",1,3,N/A
"June 13, 2015","New York",Bronx,"2409 Creston Avenue",0,5,N/A
"June 13, 2015",Oklahoma,"Oklahoma City","500 block of Se 69th St",0,4,N/A
"June 12, 2015",Florida,Allapattah,"24th Avenue and 36th Street",0,4,N/A
"June 11, 2015",Connecticut,Bridgeport,"468 Trumbull Avenue",1,8,N/A
"June 11, 2015",Texas,Houston,"3400 Block of Burkett",1,3,N/A
"June 10, 2015",California,"Los Angeles","South Vermont Avenue and West 88th Street",1,3,N/A
"June 9, 2015",Missouri,"Saint Louis","North Market Street and North Spring Avenue",1,3,N/A
"June 7, 2015",Montana,"Deer Lodge","Boulder Creek Road",5,0,N/A
"June 6, 2015","New York",Buffalo,"100 block of Warren Avenue",1,4,N/A
"June 6, 2015",Illinois,Chicago,"100 block of North Lorel Avenue",0,5,N/A
"June 5, 2015",Iowa,Davenport,"900 block of West 3rd St",0,5,N/A
"June 5, 2015",Louisiana,"New Orleans","2100 Block of Governor Nicholls Street",1,3,N/A
"June 3, 2015","New York",Wyandanch,"Davidson Street",3,1,N/A
"May 31, 2015",Ohio,Cleveland,"16209 block of Laverne Avenue",3,1,N/A
"May 31, 2015",Maryland,Springdale,"9222 Ardwick Ardmore Road",1,3,N/A
"May 31, 2015",Connecticut,"New Haven","849 Chapel Street",0,5,N/A
"May 31, 2015",Georgia,Conyers,"4669 Bell Road SE",3,2,N/A
"May 30, 2015",California,"San Diego","4200 block of Market Street",0,4,N/A
"May 28, 2015",Nebraska,Omaha,"84th and Q",0,4,N/A
"May 28, 2015",Illinois,Chicago,"6200 block of South Honore Street",0,5,N/A
"May 28, 2015",Pennsylvania,Chester,"2700 block of West 3rd Street",1,3,N/A
"May 26, 2015",Louisiana,"New Orleans","6700 Block of Tara Lane",2,2,N/A
"May 25, 2015",Illinois,Decatur,"1816 N. Water",1,4,N/A
"May 24, 2015",Michigan,Flint,"W. 12th Street and Hammerberg Road.",0,7,N/A
"May 24, 2015",Massachusetts,Brockton,"1002 Main St",0,5,N/A
"May 24, 2015",Alabama,Montgomery,"Smiley Court",1,3,N/A
"May 24, 2015",Missouri,"Saint Louis","2700 block of Dayton",0,4,N/A
"May 23, 2015",California,Fresno,"2400 block of South 9th Street",2,2,N/A
"May 20, 2015",Maryland,Baltimore,"800 block of Linwood Avenue",1,4,N/A
"May 18, 2015",Missouri,Kinloch,"8000 block of School Way",0,4,N/A
"May 18, 2015",Florida,Miami,"Northwest 75th Street and Northwest 16th Avenue",1,4,N/A
"May 17, 2015",Texas,Waco,"4671 S Jack Kultgen Expy",9,18,N/A
"May 16, 2015",Wisconsin,Milwaukee,"28th Street and Auer Avenue",0,5,N/A
"May 16, 2015","New York",Rochester,"188 Lewis Street",0,4,N/A
"May 16, 2015",Maryland,Baltimore,"1700 block of North Broadway",0,5,N/A
"May 12, 2015",Maryland,"Capitol Heights","Pard Road",1,4,N/A
"May 12, 2015",Arizona,Tucson,"800 block of West Calle Medina Road",5,0,N/A
"May 10, 2015",Ohio,Cleveland,"3600 block of Bosworth Road",1,4,N/A
"May 10, 2015","New Jersey","Jersey City","Bostwick Avenue",0,4,N/A
"May 10, 2015","New Jersey",Newark,"19th Avenue and South 16th Street",1,3,N/A
"May 7, 2015",Ohio,Cincinnati,"2300 block of Baltimore Avenue",0,4,N/A
"May 4, 2015","New York",Buffalo,"100 block of Roosevelt Avenue",1,3,N/A
"May 3, 2015",Indiana,"South Bend","1600 block of South William Street",0,4,N/A
"May 3, 2015",Wisconsin,Menasha,"North Lake Street",4,1,N/A
"May 3, 2015",Texas,Houston,"San Jacinto at Elgin",0,6,N/A
"May 3, 2015","New York",Bronx,"University Avenue",0,4,N/A
"May 3, 2015",Ohio,Dayton,"2801 Germantown Street",1,6,N/A
"May 1, 2015",Wisconsin,Milwaukee,"3700 block of 37th Street",2,3,N/A
"April 27, 2015","New York",Brooklyn,"1365 Flatbush Ave",2,4,N/A
"April 27, 2015",Arizona,"Gila Bend","State Route 85",2,2,N/A
"April 25, 2015","New Jersey",Trenton,"Wood Street",0,4,N/A
"April 25, 2015","New York",Gates,"24 Hinchey Rd",1,6,N/A
"April 21, 2015",Texas,Killeen,"420 Gilmer St.",2,3,N/A
"April 19, 2015",Virginia,Richmond,"200 block of West Hill Street",0,4,N/A
"April 18, 2015",Pennsylvania,Williamsport,"300 block of Pine Street",0,5,N/A
"April 18, 2015",Alabama,Montgomery,"1800 block of Gibbs Court",0,5,N/A
"April 18, 2015","North Carolina",Lumberton,"Martin Luther King Drive",1,3,N/A
"April 18, 2015","North Carolina",Charlotte,"Bost Street",0,4,N/A
"April 18, 2015","New Jersey",Patterson,"230 Rosa Parks Boulevard",1,3,N/A
"April 16, 2015",Arizona,Phoenix,"4300 block of East Anderson Drive",5,0,N/A
"April 7, 2015",Georgia,Rome,"20 Copeland Street",1,3,N/A
"April 5, 2015",Pennsylvania,Pittsburgh,"Dinwiddie Street",1,3,N/A
"April 5, 2015",Kentucky,Louisville,"40th and Grand Street",1,4,N/A
"April 5, 2015",Indiana,Indianapolis,"5000 block of Wildflower Court",0,5,N/A
"April 5, 2015",Michigan,"Benton Harbor","1000 block of Blossom Lane",0,4,N/A
"April 3, 2015",Florida,"Daytona Beach","300 block of Henry Butts Drive",0,4,N/A
"April 2, 2015",Maryland,Baltimore,"1900 block of West Lanvale Street",0,5,N/A
"March 27, 2015",Florida,"Panama City Beach","5312 Thomas Drive",0,7,N/A
"March 26, 2015",Texas,Amarillo,"3100 block of Redwood",0,4,N/A
"March 24, 2015",Indiana,Indianapolis,"3100 block of North Harding Street",4,0,N/A
"March 23, 2015",Tennessee,Clarksville,"900 block of Carpenter Street",1,4,N/A
"March 22, 2015","New Mexico",Albuquerque,"10140 Lomas NE",1,6,N/A
"March 21, 2015",Florida,Tampa,"1802 Seventh Ave",0,4,N/A
"March 20, 2015",Texas,Lancaster,"1500 block of Reynolds Street",1,5,N/A
"March 18, 2015","New Jersey",Newark,"200 block of Clinton Place",1,3,N/A
"March 18, 2015",Arizona,Mesa,"1504 West Main Street",1,5,N/A
"March 17, 2015",California,Stockton,"748 N Madison St",3,4,N/A
"March 15, 2015",California,Compton,"2700 block of West Alondra Boulevard",0,4,N/A
"March 14, 2015",Georgia,Atlanta,"2900 block of Delmar Lane",0,5,N/A
"March 14, 2015",California,Coachella,"84000 block of Bagdad Avenue",0,4,N/A
"March 13, 2015",Mississippi,Brookhaven,"1097 South First St.",2,3,N/A
"March 10, 2015",Georgia,Columbus,"3023 Victory Drive",0,5,N/A
"March 9, 2015",Illinois,Chicago,"200 block of West 105th",1,3,N/A
"March 8, 2015","South Carolina",Seneca,"Wells Highway",1,3,N/A
"March 4, 2015",California,"San Bernardino","190 block of West Club Center Drive",2,5,N/A
"March 1, 2015",Florida,"Orange County","4900 block of Steyr Street",0,4,N/A
"March 1, 2015",Michigan,Detroit,"9855 Chalmers St",1,5,N/A
"February 28, 2015",Maryland,Baltimore,"4300 block of Welbourne Road",1,3,N/A
"February 26, 2015",Missouri,Tyrone,"18279 Highway H",8,1,N/A
"February 25, 2015",Texas,Houston,"Mallow St.",3,3,N/A
"February 22, 2015",Texas,Killeen,"1706 Godman St.",4,1,N/A
"February 22, 2015",Georgia,Clarkesville,"281 Lower Pond Court",3,2,N/A
"February 22, 2015","South Carolina",Charleston,"4224 Dorchester Road",0,4,N/A
"February 20, 2015",California,Sacramento,"1417 R Street",0,4,N/A
"February 17, 2015",Arkansas,"Little Rock","7900 Scott Hamilton",1,3,N/A
"February 15, 2015",California,"Long Beach","200 block of W. 14th Street",0,5,N/A
"February 9, 2015",Florida,"New Port Richey","9552 Adler Street",3,1,N/A
"February 8, 2015",Tennessee,"Maury City","251 Dupree Road",0,6,N/A
"February 7, 2015",Georgia,Douglasville,"3640 Willow Tree Circle",5,2,N/A
"February 6, 2015",Oklahoma,Tulsa,"1219 N. Sheridan Road",1,4,N/A
"February 5, 2015",Ohio,"Beachwood (Warrensville Heights)","Harvard Road",3,3,N/A
"February 1, 2015","New York",Syracuse,"1217 West Fayette Street",0,6,N/A
"February 1, 2015","New York","New York (Manhattan)","3345 Broadway",1,4,N/A
"January 31, 2015",Georgia,Lagrange,"100 block of Woodstream Trail",4,0,N/A
"January 28, 2015",Georgia,"Dekalb County","1600 block of Panola Road",1,3,N/A
"January 26, 2015",California,Stockton,"1500 block of E. 9th Street",1,3,N/A
"January 24, 2015","New York","Arverne (Queens)","231-11 148th Avenue",4,1,N/A
"January 24, 2015",Nebraska,Omaha,"3402 Parker St",3,5,N/A
"January 23, 2015",Massachusetts,Boston,"954 Parker Street",0,6,N/A
"January 20, 2015",Tennessee,Clarksville,"321 Lansinger Lane",1,3,N/A
"January 19, 2015",Texas,"San Antonio","1000 block of Gibbs St.",2,5,N/A
"January 16, 2015",California,Oakland,"105th and Edes",2,2,N/A
"January 13, 2015",Virginia,Portsmouth,"4100 block of Portsmouth Boulevard",0,5,N/A
"January 13, 2015",Illinois,Rockford,"700 block of Oakley Avenue",2,2,N/A
"January 11, 2015","North Carolina","Hope Mills","1900 block of Gumberry Road",2,5,N/A
"January 11, 2015",Florida,Lakeland,"7665 Chase Road",1,3,N/A
"January 11, 2015",California,"San Jose","3840 Monterey Hwy",0,5,N/A
"January 10, 2015",Kansas,Wichita,"4859 E Harry Street",2,2,N/A
"January 9, 2015",California,"San Francisco","Laguna and Page streets",4,0,N/A
"January 8, 2015",Massachusetts,Boston,"104 Harrishof Street",1,3,N/A
"January 7, 2015",Tennessee,Chattanooga,"773 West Main Street",1,3,N/A
"January 6, 2015",Florida,Miami,"1300 block of NW 62nd Street",1,3,N/A
"January 4, 2015",Virginia,Roanoke,"3634 Shenandoah Ave NW",2,4,N/A
"January 4, 2015",Texas,Dallas,"2000 block of Ben Hur St.",3,1,N/A
"January 2, 2015",Georgia,Savannah,"500 block of W. 54th Street",1,4,N/A
"January 1, 2015",Tennessee,Memphis,"Interstate 240 and Poplar Avenue",0,5,N/A
