"YEAR","MONTH","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_DELAY","DEP_DELAY_NEW","ARR_DELAY","ARR_DELAY_NEW","CANCELLED",
2012,4,"AA",12478,12892,-7.00,0.00,-2.00,0.00,0.00,
2012,4,"AA",12478,12892,-4.00,0.00,6.00,6.00,0.00,
2012,4,"AA",12478,12892,-8.00,0.00,-14.00,0.00,0.00,
2012,4,"AA",12478,12892,-6.00,0.00,-10.00,0.00,0.00,
2012,4,"AA",12478,12892,-5.00,0.00,-9.00,0.00,0.00,
2012,4,"AA",12892,12478,-5.00,0.00,-22.00,0.00,0.00,
2012,4,"AA",12892,12478,25.00,25.00,18.00,18.00,0.00,
2012,4,"AA",12892,12478,-2.00,0.00,-16.00,0.00,0.00,
2012,4,"AA",12892,12478,0.00,0.00,-21.00,0.00,0.00,
2012,4,"AA",12892,12478,-3.00,0.00,-22.00,0.00,0.00,
2012,4,"AA",12892,12478,63.00,63.00,40.00,40.00,0.00,
2012,4,"AA",12892,12478,-8.00,0.00,-38.00,0.00,0.00,
2012,4,"AA",12892,12478,2.00,2.00,-29.00,0.00,0.00,
2012,4,"AA",12892,12478,-4.00,0.00,-39.00,0.00,0.00,
