count,geometry
1,"<Point><coordinates>-0.13603,51.512271</coordinates></Point>"
1,"<Point><coordinates>-0.13631,51.512355</coordinates></Point>"
4,"<Point><coordinates>-0.13594,51.511991</coordinates></Point>"
2,"<Point><coordinates>-0.135858,51.512083</coordinates></Point>"
1,"<Point><coordinates>-0.1358,51.512031</coordinates></Point>"
4,"<Point><coordinates>-0.135717,51.51197</coordinates></Point>"
4,"<Point><coordinates>-0.135119,51.511882</coordinates></Point>"
1,"<Point><coordinates>-0.135144,51.51205</coordinates></Point>"
4,"<Point><coordinates>-0.135394,51.51225</coordinates></Point>"
1,"<Point><coordinates>-0.135409,51.512162</coordinates></Point>"
1,"<Point><coordinates>-0.135472,51.512212</coordinates></Point>"
2,"<Point><coordinates>-0.135765,51.512573</coordinates></Point>"
1,"<Point><coordinates>-0.135871,51.512575</coordinates></Point>"
2,"<Point><coordinates>-0.135976,51.512672</coordinates></Point>"
3,"<Point><coordinates>-0.136033,51.512727</coordinates></Point>"
1,"<Point><coordinates>-0.136115,51.512794</coordinates></Point>"
4,"<Point><coordinates>-0.13618,51.512846</coordinates></Point>"
1,"<Point><coordinates>-0.136083,51.512879</coordinates></Point>"
1,"<Point><coordinates>-0.136139,51.512939</coordinates></Point>"
7,"<Point><coordinates>-0.135329,51.512765</coordinates></Point>"
3,"<Point><coordinates>-0.135122,51.512844</coordinates></Point>"
8,"<Point><coordinates>-0.134645,51.512532</coordinates></Point>"
1,"<Point><coordinates>-0.134522,51.512198</coordinates></Point>"
1,"<Point><coordinates>-0.134967,51.512215</coordinates></Point>"
5,"<Point><coordinates>-0.135098,51.513154</coordinates></Point>"
8,"<Point><coordinates>-0.134394,51.513056</coordinates></Point>"
2,"<Point><coordinates>-0.134505,51.513165</coordinates></Point>"
1,"<Point><coordinates>-0.134437,51.513098</coordinates></Point>"
1,"<Point><coordinates>-0.134594,51.513238</coordinates></Point>"
2,"<Point><coordinates>-0.13464,51.513293</coordinates></Point>"
1,"<Point><coordinates>-0.134709,51.513379</coordinates></Point>"
2,"<Point><coordinates>-0.134756,51.513431</coordinates></Point>"
2,"<Point><coordinates>-0.135244,51.513475</coordinates></Point>"
3,"<Point><coordinates>-0.134897,51.513422</coordinates></Point>"
1,"<Point><coordinates>-0.135158,51.513528</coordinates></Point>"
2,"<Point><coordinates>-0.135344,51.513481</coordinates></Point>"
2,"<Point><coordinates>-0.135063,51.513594</coordinates></Point>"
3,"<Point><coordinates>-0.135801,51.513227</coordinates></Point>"
1,"<Point><coordinates>-0.135762,51.51318</coordinates></Point>"
2,"<Point><coordinates>-0.13574,51.513132</coordinates></Point>"
1,"<Point><coordinates>-0.135645,51.513048</coordinates></Point>"
1,"<Point><coordinates>-0.135602,51.513006</coordinates></Point>"
1,"<Point><coordinates>-0.135501,51.512883</coordinates></Point>"
1,"<Point><coordinates>-0.135832,51.51327</coordinates></Point>"
3,"<Point><coordinates>-0.136049,51.513459</coordinates></Point>"
3,"<Point><coordinates>-0.13614,51.513431</coordinates></Point>"
3,"<Point><coordinates>-0.136228,51.513402</coordinates></Point>"
3,"<Point><coordinates>-0.134999,51.512593</coordinates></Point>"
1,"<Point><coordinates>-0.134793,51.512585</coordinates></Point>"
2,"<Point><coordinates>-0.134896,51.512555</coordinates></Point>"
1,"<Point><coordinates>-0.135,51.512521</coordinates></Point>"
1,"<Point><coordinates>-0.133483,51.513137</coordinates></Point>"
1,"<Point><coordinates>-0.133265,51.513228</coordinates></Point>"
2,"<Point><coordinates>-0.133296,51.513152</coordinates></Point>"
1,"<Point><coordinates>-0.132933,51.513258</coordinates></Point>"
1,"<Point><coordinates>-0.133998,51.513544</coordinates></Point>"
1,"<Point><coordinates>-0.134042,51.513626</coordinates></Point>"
2,"<Point><coordinates>-0.134156,51.513637</coordinates></Point>"
2,"<Point><coordinates>-0.134091,51.513524</coordinates></Point>"
1,"<Point><coordinates>-0.134272,51.51382</coordinates></Point>"
1,"<Point><coordinates>-0.13422,51.513724</coordinates></Point>"
1,"<Point><coordinates>-0.134704,51.513704</coordinates></Point>"
1,"<Point><coordinates>-0.134782,51.513831</coordinates></Point>"
1,"<Point><coordinates>-0.13501,51.513915</coordinates></Point>"
1,"<Point><coordinates>-0.134923,51.513597</coordinates></Point>"
1,"<Point><coordinates>-0.134885,51.514032</coordinates></Point>"
5,"<Point><coordinates>-0.134212,51.513891</coordinates></Point>"
1,"<Point><coordinates>-0.134135,51.513758</coordinates></Point>"
1,"<Point><coordinates>-0.134364,51.514065</coordinates></Point>"
2,"<Point><coordinates>-0.134447,51.514146</coordinates></Point>"
2,"<Point><coordinates>-0.134479,51.514201</coordinates></Point>"
1,"<Point><coordinates>-0.134658,51.51423</coordinates></Point>"
1,"<Point><coordinates>-0.134367,51.514319</coordinates></Point>"
1,"<Point><coordinates>-0.134179,51.514377</coordinates></Point>"
1,"<Point><coordinates>-0.13416,51.514357</coordinates></Point>"
2,"<Point><coordinates>-0.134069,51.514382</coordinates></Point>"
2,"<Point><coordinates>-0.134085,51.514402</coordinates></Point>"
5,"<Point><coordinates>-0.133821,51.514522</coordinates></Point>"
1,"<Point><coordinates>-0.133922,51.514497</coordinates></Point>"
1,"<Point><coordinates>-0.13385,51.514472</coordinates></Point>"
1,"<Point><coordinates>-0.133725,51.514504</coordinates></Point>"
1,"<Point><coordinates>-0.133745,51.514546</coordinates></Point>"
4,"<Point><coordinates>-0.133676,51.514561</coordinates></Point>"
1,"<Point><coordinates>-0.133563,51.514594</coordinates></Point>"
2,"<Point><coordinates>-0.133467,51.514581</coordinates></Point>"
1,"<Point><coordinates>-0.133393,51.514606</coordinates></Point>"
1,"<Point><coordinates>-0.134474,51.515834</coordinates></Point>"
1,"<Point><coordinates>-0.135259,51.515195</coordinates></Point>"
1,"<Point><coordinates>-0.135395,51.515149</coordinates></Point>"
1,"<Point><coordinates>-0.136022,51.514818</coordinates></Point>"
3,"<Point><coordinates>-0.136804,51.514843</coordinates></Point>"
1,"<Point><coordinates>-0.136583,51.514914</coordinates></Point>"
1,"<Point><coordinates>-0.135653,51.514496</coordinates></Point>"
2,"<Point><coordinates>-0.135578,51.514743</coordinates></Point>"
1,"<Point><coordinates>-0.13486,51.514467</coordinates></Point>"
1,"<Point><coordinates>-0.13469,51.514453</coordinates></Point>"
1,"<Point><coordinates>-0.134818,51.514845</coordinates></Point>"
1,"<Point><coordinates>-0.135704,51.514389</coordinates></Point>"
1,"<Point><coordinates>-0.135561,51.514399</coordinates></Point>"
2,"<Point><coordinates>-0.135649,51.514335</coordinates></Point>"
1,"<Point><coordinates>-0.135415,51.514224</coordinates></Point>"
1,"<Point><coordinates>-0.135576,51.51422</coordinates></Point>"
2,"<Point><coordinates>-0.135357,51.514145</coordinates></Point>"
3,"<Point><coordinates>-0.135475,51.514108</coordinates></Point>"
2,"<Point><coordinates>-0.136226,51.514359</coordinates></Point>"
1,"<Point><coordinates>-0.136328,51.514326</coordinates></Point>"
1,"<Point><coordinates>-0.136222,51.514544</coordinates></Point>"
1,"<Point><coordinates>-0.136117,51.514569</coordinates></Point>"
1,"<Point><coordinates>-0.13603,51.514586</coordinates></Point>"
1,"<Point><coordinates>-0.136266,51.514612</coordinates></Point>"
2,"<Point><coordinates>-0.136421,51.514575</coordinates></Point>"
3,"<Point><coordinates>-0.136935,51.514507</coordinates></Point>"
3,"<Point><coordinates>-0.136931,51.514274</coordinates></Point>"
1,"<Point><coordinates>-0.136799,51.514293</coordinates></Point>"
1,"<Point><coordinates>-0.13678,51.514058</coordinates></Point>"
3,"<Point><coordinates>-0.136696,51.514148</coordinates></Point>"
1,"<Point><coordinates>-0.136712,51.513961</coordinates></Point>"
1,"<Point><coordinates>-0.136123,51.514027</coordinates></Point>"
1,"<Point><coordinates>-0.135958,51.514076</coordinates></Point>"
1,"<Point><coordinates>-0.135883,51.514096</coordinates></Point>"
2,"<Point><coordinates>-0.135788,51.514134</coordinates></Point>"
2,"<Point><coordinates>-0.135849,51.514033</coordinates></Point>"
4,"<Point><coordinates>-0.136008,51.513996</coordinates></Point>"
5,"<Point><coordinates>-0.136099,51.51396</coordinates></Point>"
2,"<Point><coordinates>-0.13617,51.513945</coordinates></Point>"
5,"<Point><coordinates>-0.135485,51.513821</coordinates></Point>"
5,"<Point><coordinates>-0.135374,51.513999</coordinates></Point>"
3,"<Point><coordinates>-0.135582,51.513795</coordinates></Point>"
3,"<Point><coordinates>-0.135679,51.513766</coordinates></Point>"
1,"<Point><coordinates>-0.135814,51.513726</coordinates></Point>"
5,"<Point><coordinates>-0.135905,51.513692</coordinates></Point>"
4,"<Point><coordinates>-0.135992,51.513672</coordinates></Point>"
4,"<Point><coordinates>-0.136217,51.513603</coordinates></Point>"
1,"<Point><coordinates>-0.136579,51.513482</coordinates></Point>"
4,"<Point><coordinates>-0.136675,51.513458</coordinates></Point>"
1,"<Point><coordinates>-0.136764,51.513429</coordinates></Point>"
3,"<Point><coordinates>-0.136877,51.513404</coordinates></Point>"
2,"<Point><coordinates>-0.136953,51.513359</coordinates></Point>"
1,"<Point><coordinates>-0.13723,51.513378</coordinates></Point>"
2,"<Point><coordinates>-0.136651,51.513855</coordinates></Point>"
1,"<Point><coordinates>-0.136503,51.513875</coordinates></Point>"
1,"<Point><coordinates>-0.137367,51.513565</coordinates></Point>"
2,"<Point><coordinates>-0.137422,51.513616</coordinates></Point>"
3,"<Point><coordinates>-0.137472,51.513742</coordinates></Point>"
1,"<Point><coordinates>-0.1383,51.513918</coordinates></Point>"
1,"<Point><coordinates>-0.137363,51.513772</coordinates></Point>"
4,"<Point><coordinates>-0.137995,51.513502</coordinates></Point>"
2,"<Point><coordinates>-0.138139,51.513712</coordinates></Point>"
2,"<Point><coordinates>-0.138239,51.513644</coordinates></Point>"
1,"<Point><coordinates>-0.138272,51.513711</coordinates></Point>"
5,"<Point><coordinates>-0.138083,51.514061</coordinates></Point>"
3,"<Point><coordinates>-0.137912,51.514748</coordinates></Point>"
2,"<Point><coordinates>-0.137707,51.514794</coordinates></Point>"
3,"<Point><coordinates>-0.137108,51.514526</coordinates></Point>"
2,"<Point><coordinates>-0.137065,51.514706</coordinates></Point>"
1,"<Point><coordinates>-0.138474,51.512311</coordinates></Point>"
1,"<Point><coordinates>-0.138123,51.511998</coordinates></Point>"
1,"<Point><coordinates>-0.137762,51.511856</coordinates></Point>"
-999,"<Point><coordinates>-0.136668,51.513341</coordinates></Point>"
-999,"<Point><coordinates>-0.139586,51.513876</coordinates></Point>"
-999,"<Point><coordinates>-0.139671,51.514906</coordinates></Point>"
-999,"<Point><coordinates>-0.13163,51.512354</coordinates></Point>"
-999,"<Point><coordinates>-0.133594,51.512139</coordinates></Point>"
-999,"<Point><coordinates>-0.135919,51.511542</coordinates></Point>"
-999,"<Point><coordinates>-0.133962,51.510019</coordinates></Point>"
-999,"<Point><coordinates>-0.138199,51.511295</coordinates></Point>"
